disease	SnoRNA	Score
1	124	0.9912379786139182
1	132	0.9912355843719401
1	2	0.9912355843719401
16	87	0.9906381208172941
0	208	0.9905753669166337
1	70	0.9905060971958164
6	70	0.9905060971958164
0	45	0.9902664764856464
6	186	0.9901229864532806
6	37	0.9900570504334846
1	166	0.9900570504334846
6	166	0.9900570504334846
1	179	0.9900069455861298
1	180	0.9900069455861298
1	145	0.9896687003157668
4	17	0.9896643634405557
4	202	0.9895102183833994
0	121	0.9891926483064575
16	105	0.9886289200729842
16	154	0.9886289200729842
1	21	0.9885804760662439
16	43	0.9884390062470255
16	202	0.9884390062470255
0	92	0.9883005746855674
16	180	0.9880820834497186
0	170	0.9879098809729421
0	57	0.9879098809729421
4	14	0.9879029415815568
4	15	0.9879029415815568
0	70	0.9878205122700269
2	20	0.9877435113293104
4	31	0.9876076833717822
6	113	0.9876073859730261
0	44	0.9875545359950221
16	102	0.9874703263742876
4	193	0.9872382303256254
4	217	0.9871895147967235
4	122	0.9871732456816061
1	12	0.9869234570435343
4	50	0.9867426217160062
1	31	0.9866277021141941
4	72	0.9864971248720218
4	68	0.9864971248720218
4	64	0.9864971248720218
4	66	0.9864971248720218
1	27	0.9862293703286508
1	98	0.9861992968244715
6	98	0.9861992968244715
1	29	0.9861878881269611
6	29	0.9861878881269611
1	108	0.9861017846442969
1	138	0.9860213191197476
16	156	0.9858502586767751
4	71	0.9858152022448301
4	75	0.9858152022448301
2	70	0.9857516064959108
0	119	0.9856720713783205
1	117	0.9856205951176842
6	176	0.9855973449699325
2	65	0.9854155723887719
2	63	0.9854155723887719
2	64	0.9854155723887719
2	71	0.9854155723887719
2	74	0.9854155723887719
2	68	0.9854155723887719
2	66	0.9854155723887719
2	67	0.9854155723887719
2	75	0.9854155723887719
2	73	0.9854155723887719
1	51	0.9852651457021282
16	133	0.9852651294499388
16	169	0.9852109896858418
16	151	0.984969385901491
16	189	0.984848752465359
6	139	0.9848196701503656
1	118	0.9847491280802535
16	13	0.9845439947522967
1	102	0.9844019396375667
16	100	0.9843412431084821
6	187	0.9843019232321264
1	204	0.9843019232321264
6	204	0.9843019232321264
1	217	0.9840947621903823
2	216	0.9838522035574022
2	9	0.9835751019439253
6	193	0.9834842647973381
1	193	0.9834842647973381
1	101	0.9834842647973381
4	170	0.9833547275218322
4	28	0.9833340592885036
1	17	0.9831678359315097
4	1	0.9828200271693845
22	195	0.9827083710407366
0	122	0.9825737644869004
1	53	0.9824959706009478
1	49	0.9824959706009478
4	97	0.9824720321601674
2	127	0.9820518922066063
0	33	0.9819520659127389
16	32	0.9818701922497395
16	98	0.9818701922497395
1	111	0.981814941355369
16	95	0.9815581040512207
16	27	0.9815581040512207
16	26	0.9815581040512207
16	196	0.9815581040512207
16	135	0.9815581040512207
2	45	0.9814801182971071
25	130	0.9813791833280299
15	130	0.9813791833280299
12	130	0.9813791833280299
14	130	0.9813791833280299
18	130	0.9813791833280299
8	130	0.9813791833280299
0	188	0.9813397414852039
4	177	0.9813001802815496
0	176	0.9811310255590762
1	96	0.9808459612634712
6	96	0.9808459612634712
2	82	0.9807491906538247
6	216	0.9806139797319418
6	178	0.9806139797319418
1	216	0.9806139797319418
0	185	0.9805911930454451
0	88	0.9805151058760639
0	202	0.9803400801175074
0	174	0.9795721188976688
6	55	0.9791021804068548
6	184	0.9790531645300375
1	184	0.9790531645300375
0	76	0.9790168687658864
16	117	0.9789261708184418
1	152	0.9788488235505899
2	26	0.9787560203159482
2	25	0.9787560203159482
16	66	0.9787322154127391
16	65	0.9787322154127391
16	64	0.9787322154127391
16	74	0.9787322154127391
16	63	0.9787322154127391
16	72	0.9787322154127391
16	73	0.9787322154127391
16	67	0.9787322154127391
16	68	0.9787322154127391
6	81	0.9781317102813823
4	132	0.9776848175390926
0	106	0.9776456065490549
0	29	0.9776456065490549
0	52	0.9774174555778441
0	59	0.9774174555778441
11	130	0.9770132156219778
10	130	0.9770132156219778
22	130	0.9770132156219778
0	17	0.9769834150878937
0	94	0.9769227797879464
16	69	0.9762258120987559
0	32	0.9761827719016725
16	191	0.9759985202064357
16	88	0.9759791066635191
6	43	0.9755836564047803
1	131	0.9751023772135855
4	205	0.9747697988884935
16	11	0.9742542727156905
2	121	0.9741030321654252
16	192	0.9740652231801475
16	162	0.9740652231801475
16	134	0.9740600711442402
1	189	0.9738585298568767
16	30	0.9735232864473585
0	2	0.9734852194213445
2	84	0.9728690284590388
2	129	0.9721874575787608
2	152	0.9721874575787608
4	126	0.9719357125881125
4	130	0.9718745901731533
6	175	0.9718561996521239
1	175	0.9718561996521239
6	13	0.9711954956080147
1	13	0.9711954956080147
16	219	0.9707987715896674
4	107	0.9707642980236303
16	158	0.970746645312261
6	115	0.97068939122125
2	87	0.9702154302205578
1	122	0.9692913638401381
6	122	0.9692913638401381
2	12	0.9690067480442758
2	10	0.9689344969637051
16	44	0.9688761470578814
6	82	0.9688182218303792
6	77	0.9688182218303792
6	80	0.9688182218303792
6	76	0.9688182218303792
6	78	0.9688182218303792
16	145	0.9688163706673282
0	39	0.9686252977247948
0	212	0.968421872935983
1	149	0.9683255749436076
6	149	0.9683255749436076
4	10	0.9681856518924773
0	120	0.9679133133055301
1	173	0.9677126371908426
4	116	0.9676988245031295
