disease,SnoRNA,Score
71,42,0.9841160131467008
71,43,0.9841160131467008
71,41,0.9841160131467008
54,222,0.9840761350797966
54,301,0.9840484328217262
57,45,0.9840459484283322
78,45,0.9840459484283322
84,42,0.9840372272350838
98,37,0.9840372272350838
98,42,0.9840372272350838
98,44,0.9840372272350838
84,43,0.9840372272350838
98,43,0.9840372272350838
84,37,0.9840372272350838
84,45,0.9840372272350838
84,33,0.9840372272350838
84,31,0.9840372272350838
98,41,0.9840372272350838
98,45,0.9840372272350838
84,44,0.9840372272350838
11,234,0.9840084433228632
82,59,0.9839995991277876
23,219,0.9839700256754716
82,219,0.9839700256754716
53,219,0.9839700256754716
53,70,0.9839429713111284
23,70,0.9839429713111284
82,255,0.9839283452952908
53,255,0.9839283452952908
42,207,0.9839190099068478
42,313,0.9839190099068478
42,249,0.9839190099068478
42,330,0.9839190099068478
29,177,0.9838857874073152
34,236,0.983826807811568
9,92,0.9838196514533276
53,92,0.9838196514533276
53,81,0.9838196514533276
108,135,0.9838050611466044
29,307,0.983777229883612
54,88,0.983773066125794
18,30,0.983754018390412
54,110,0.9837463234863706
9,77,0.9837161604104202
53,77,0.9837161604104202
53,129,0.9837161604104202
9,51,0.9837161604104202
23,131,0.9837161604104202
23,51,0.9837161604104202
53,2,0.9837161604104202
23,2,0.9837161604104202
9,2,0.9837161604104202
23,129,0.9837161604104202
9,131,0.9837161604104202
9,1,0.9836427532018064
23,1,0.9836427532018064
53,1,0.9836427532018064
54,283,0.9836363549863516
29,222,0.9836328417290612
29,311,0.983581404316818
110,15,0.9835138941491708
23,132,0.9834630123171748
9,132,0.9834630123171748
53,132,0.9834630123171748
23,7,0.9834478580143872
24,7,0.9834478580143872
11,139,0.983394177601211
11,206,0.983394177601211
54,59,0.9833598809168036
9,97,0.9833463812914036
53,97,0.9833463812914036
11,251,0.983317671063906
82,23,0.9832578704390704
29,325,0.9831563924067728
4,42,0.9831204006651738
4,31,0.9831204006651738
4,43,0.9831204006651738
4,32,0.9831204006651738
4,41,0.9831204006651738
9,117,0.9831158252888408
53,86,0.9831158252888408
9,93,0.9831158252888408
23,113,0.9831158252888408
53,66,0.9831158252888408
9,200,0.983084164285006
53,200,0.983084164285006
23,200,0.983084164285006
110,145,0.9830814979471668
0,45,0.9829734683235116
65,45,0.9829734683235116
0,37,0.9829734683235116
65,42,0.9829734683235116
65,37,0.9829734683235116
0,33,0.9829734683235116
65,43,0.9829734683235116
0,44,0.9829734683235116
65,31,0.9829734683235116
0,31,0.9829734683235116
65,41,0.9829734683235116
99,123,0.9829695568303672
42,218,0.9828940446477744
53,236,0.982885053332795
9,236,0.982885053332795
23,236,0.982885053332795
