disease,SnoRNA,Score
40,43,0.9859155924111056
11,222,0.9858524295814288
42,302,0.9858350685022204
11,152,0.9857928821494216
68,334,0.9856715833238012
68,45,0.9856715833238012
16,42,0.9856677500117936
11,75,0.9856595993497717
11,129,0.9856595993497717
21,301,0.9856155514159518
97,334,0.985599761135442
97,45,0.985599761135442
84,45,0.985599761135442
84,27,0.985599761135442
84,334,0.985599761135442
54,261,0.9855899384916884
11,296,0.9855899384916884
11,261,0.9855899384916884
24,217,0.9855636053163898
53,105,0.9855635204961556
82,105,0.9855635204961556
45,41,0.9855295573419052
45,43,0.9855295573419052
67,41,0.9855108344326222
87,41,0.9855108344326222
89,41,0.9855108344326222
70,43,0.9855108344326222
87,43,0.9855108344326222
15,41,0.9855108344326222
67,43,0.9855108344326222
70,41,0.9855108344326222
9,2,0.9854390781935416
53,77,0.9854022239121838
110,57,0.9853520135413476
34,325,0.9853506762605092
24,105,0.9852707333351134
24,225,0.9852707333351134
24,291,0.9852707333351134
9,75,0.9852356166730908
88,207,0.9851659592543952
61,27,0.9850401584312228
82,87,0.9850395422260187
53,87,0.9850395422260187
42,105,0.98499787938738
102,41,0.984985827728606
110,141,0.9849650890074636
7,56,0.9849577536660096
86,43,0.9849557335273652
86,41,0.9849557335273652
23,59,0.9847542535181496
72,42,0.98469623450879
76,31,0.98469623450879
72,30,0.98469623450879
72,32,0.98469623450879
72,43,0.98469623450879
45,33,0.9846267296418008
45,30,0.9846267296418008
11,84,0.9845495701478952
11,133,0.9845495701478952
11,58,0.9845495701478952
104,27,0.984387873696206
11,163,0.9843829771322722
11,316,0.984365660768347
15,33,0.9843588475112628
89,33,0.9843588475112628
67,33,0.9843588475112628
70,33,0.9843588475112628
54,328,0.984316949250711
42,330,0.9842443992116447
9,135,0.984204298380903
110,330,0.9841977362558711
11,264,0.9841754434750783
83,37,0.9839987641915507
83,41,0.9839914105674118
83,43,0.9839914105674118
99,312,0.9839575560884029
91,39,0.9839490361312478
11,217,0.9838931379588152
99,242,0.983853251794179
99,244,0.983853251794179
39,207,0.9838494130938238
75,207,0.9838494130938238
110,96,0.9838335182385004
42,147,0.9837268620438064
11,303,0.983642815419101
11,311,0.9836394979964094
11,309,0.9836394979964094
40,334,0.983639133435526
110,37,0.9836275772717626
110,277,0.9836275772717626
110,44,0.9836275772717626
110,329,0.9836275772717626
110,245,0.9836275772717626
110,27,0.9836275772717626
110,45,0.9836275772717626
54,207,0.9836119012902674
34,58,0.983570971307379
34,133,0.983570971307379
34,84,0.983570971307379
11,240,0.9835277924747864
24,218,0.9835079434641648
24,318,0.9835079434641648
82,200,0.9835056386316816
53,200,0.9835056386316816
110,310,0.9834856394481916
110,41,0.9834856394481916
110,42,0.9834856394481916
110,39,0.9834856394481916
110,324,0.9834856394481916
110,47,0.9834856394481916
110,312,0.9834856394481916
110,32,0.9834856394481916
110,33,0.9834856394481916
11,140,0.9834831915839536
30,37,0.9834601002561834
65,37,0.9834601002561834
97,37,0.9834601002561834
85,37,0.9834601002561834
84,37,0.9834601002561834
50,37,0.9833977754866592
23,130,0.9833806878138512
11,65,0.9833357275031096
53,69,0.9833266074471042
99,10,0.9829870583805812
42,57,0.9829540480551374
11,147,0.9829012435459276
54,297,0.9827836130114808
11,62,0.9827435756959174
86,334,0.9826933235972092
102,30,0.9826210708304
102,37,0.9826210708304
45,334,0.9825776979081782
45,27,0.9825776979081782
68,41,0.982523264798047
68,43,0.982523264798047
54,301,0.9825156843588384
29,37,0.9824337099911058
11,144,0.9824294330358324
72,19,0.9824193517391822
76,19,0.9824193517391822
11,322,0.9824022074703628
54,22,0.982254756837504
11,122,0.9821746038583924
21,264,0.9821739928220976
76,255,0.9821338740344536
72,255,0.9821338740344536
72,329,0.9821338740344536
48,27,0.9820191040005102
11,131,0.981879223330238
11,132,0.981879223330238
7,19,0.9817589526703784
54,171,0.9816777017697348
