,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
11,0.060606061,0,0,0,0,0.071428571,0,0,0,0.082191781,0,0,0.225,0,0,0,0,0.060606061,0,0,0,0.097560976,0.066914498,0,0,0,0,0.065217391,0.342857143,0,0,0,0,0,0,0,0,0,0,0,0.054945055,0.054945055,1,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310344828,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082191781,0,0,0.082191781,0,0,0,0,0,0,0,0
12,0.302808285,0.07496322,0.304051121,0.02991453,0.304051121,0.475531084,0.032258637,0.026217688,0.255046685,0.475531084,0.193613418,0.225,0,0.026217688,0.163074998,0.23822486,0.193613418,0.126760563,0.304051121,0.032258637,0.304051121,0.304051121,0.255046685,0.23822486,0.193613418,0.144176356,0.243677156,0.362068966,0.720502458,0.163074998,0.193613418,0.193613418,0.142026452,0.23822486,0.322429907,0.322429907,0.377245509,0.193613418,0.163074998,0.372579866,0.252173913,0.252173913,0.225,1,0.23822486,0.304051121,0.026217688,0.23822486,0.262672811,0.262672811,0.372579866,0.045226131,0.041916168,0.054521373,0.302808285,0.142026452,0.233766234,0.322429907,0.142026452,0.372579866,0.23822486,0.132409048,0.025084784,0.041172339,0.193613418,0.163074998,0.302808285,0.243677156,0.146341463,0.233766234,0,0,0.032258637,0.032258637,0.350253807,0.12745019,0.163074998,0.12745019,0.304051121,0.23822486,0.302808285,0.163074998,0.372579866,0,1,0.479833079,0.054521373,0.07496322,0.142026452,0.054521373,0.063671527,0.56626506,0.23822486,0.23822486,0.107359913,0.163074998,0.193613418,0.06185567,0.243677156,0,0.475531084,0.304051121,0.222127095,0.372579866,0.193613418,0.23822486,0.23822486,0.23822486,0.193613418,0.475531084,0.086956522,0.159574468
13,0.026217688,0.07496322,0.041172339,0,0.041172339,0.041172339,0.078342404,0.681647619,0.022082402,0.041172339,0.026217688,0,0.026217688,0,0.022082402,0.032258637,0.026217688,0,0.041172339,0.078342404,0.041172339,0.041172339,0.022082402,0.032258637,0.026217688,0.032258637,0.054521373,0.022082402,0.041172339,0.022082402,0.026217688,0.026217688,0.019232165,0.032258637,0.026217688,0.022082402,0.019232165,0.026217688,0.022082402,0.032258637,0,0,0.099989966,0.026217688,0.032258637,0.041172339,0.063671527,0.032258637,0.026217688,0.026217688,0.032258637,0,0,0.132409048,0.026217688,0.019232165,0.026217688,0,0.019232165,0.032258637,0.032258637,0.054521373,0.06092019,0.099989966,0.026217688,0.022082402,0.026217688,0.054521373,0,0,0,0,0.078342404,0.078342404,0.022082402,0.017258356,0.022082402,0.017258356,0.041172339,0.032258637,0.026217688,0.022082402,0.032258637,0,0,0.107359913,0.054521373,0.07496322,0.019232165,0.132409048,0.026217688,0.041172339,0.032258637,0.032258637,0.298507463,0.022082402,0.026217688,0,0.054521373,0,0.041172339,0.041172339,0.019232165,0.032258637,0.026217688,0.032258637,0.032258637,0.032258637,0.026217688,0.041172339,0,0
14,0.163074998,0.069898901,0.271481054,0.274647887,0.271481054,0.271481054,0.028013277,0.044444444,0.133086931,0.271481054,0.163074998,0,0.163074998,0.022082402,0,0.206873557,0.163074998,0.019011407,0.271481054,0.028013277,0.271481054,0.271481054,0.133086931,0.206873557,0.163074998,0.125202196,0.222834703,0.133086931,0.271481054,0.133086931,0.163074998,0.163074998,0.112414826,0.206873557,0.163074998,0.133086931,0.112414826,0.163074998,0.315372824,0.206873557,0.057142857,0.057142857,0.036761943,0.163074998,0.206873557,0.271481054,0.083333333,0.206873557,0.163074998,0.163074998,0.206873557,0.020080321,0.069124424,0.049857993,0.163074998,0.112414826,0.163074998,0.056818182,0.266386647,0.206873557,0.490223176,0.121083697,0.032520325,0.036761943,0.163074998,0.315372824,0.163074998,0.222834703,0,0.06405694,0,0.193548387,0.028013277,0.028013277,0.133086931,0.233480176,0.315372824,0.098097872,0.271481054,0.206873557,0.163074998,0.133086931,0.206873557,0.050420168,0.062015504,0.454209032,0.049857993,0.069898901,0.266386647,0.057142857,0.083333333,0.164303377,0.206873557,0.206873557,0.101626678,0.315372824,0.163074998,0.024590164,0.222834703,0,0.271481054,0.271481054,0.112414826,0.206873557,0.163074998,0.206873557,0.206873557,0.206873557,0.163074998,0.271481054,0.299145299,0.050420168
15,0.23822486,0.082379097,0.351665478,0.013636364,0.351665478,0.351665478,0.03846223,0.032258637,0.206873557,0.351665478,0.23822486,0,0.23822486,0.032258637,0.206873557,0,0.23822486,0.045226131,0.351665478,0.03846223,0.351665478,0.351665478,0.206873557,0.284037401,0.23822486,0.17190262,0.274166874,0.206873557,0.351665478,0.206873557,0.23822486,0.23822486,0.289757968,0.444229946,0.23822486,0.206873557,0.18526914,0.23822486,0.206873557,0.284037401,0.055555556,0.055555556,0.047619921,0.23822486,0.284037401,0.351665478,0.032258637,0.444229946,0.23822486,0.23822486,0.284037401,0.048648649,0.019607843,0.061343273,0.23822486,0.18526914,0.372579866,0.135,0.18526914,0.284037401,0.284037401,0.14897652,0.029819518,0.047619921,0.23822486,0.206873557,0.23822486,0.274166874,0,0.110599078,0,0,0.03846223,0.03846223,0.206873557,0.170310041,0.206873557,0.266362177,0.351665478,0.284037401,0.23822486,0.206873557,0.284037401,0,0.06185567,0.517415251,0.061343273,0.082379097,0.18526914,0.061343273,0.078342404,0.21283189,0.284037401,0.284037401,0.115768709,0.206873557,0.838709477,1,0.274166874,0,0.351665478,0.351665478,0.18526914,0.284037401,0.23822486,0.284037401,0.444229946,0.284037401,0.23822486,0.351665478,0.035294118,0.172413793
16,0.193613418,0.07496322,0.304051121,0.041666667,0.304051121,0.304051121,0.032258637,0.026217688,0.163074998,0.304051121,0.193613418,0,0.193613418,0.026217688,0.163074998,0.23822486,0,0.015384615,0.304051121,0.032258637,0.304051121,0.304051121,0.163074998,0.23822486,0.193613418,0.144176356,0.243677156,0.163074998,0.304051121,0.163074998,0.193613418,0.193613418,0.142026452,0.23822486,0.193613418,0.163074998,0.142026452,0.193613418,0.163074998,0.23822486,0.047169811,0.047169811,0.041172339,0.193613418,0.23822486,0.304051121,0.026217688,0.23822486,0.193613418,0.193613418,0.23822486,0.016574586,0.060402685,0.054521373,0.193613418,0.142026452,0.193613418,0.045918367,0.142026452,0.23822486,0.23822486,0.132409048,0.025084784,0.041172339,0.193613418,0.163074998,0.193613418,0.243677156,0,0.056338028,0,0,0.032258637,0.032258637,0.163074998,0.12745019,0.163074998,0.12745019,0.304051121,0.23822486,0.193613418,0.163074998,0.23822486,0,0.052631579,0.479833079,0.054521373,0.07496322,0.142026452,0.054521373,0.189189189,0.184015148,0.23822486,0.23822486,0.107359913,0.163074998,0.193613418,0.022727273,0.243677156,0,0.304051121,0.304051121,0.142026452,0.23822486,0.458800952,0.23822486,0.23822486,0.23822486,0.193613418,0.304051121,0.108433735,0.058823529
17,1,0,0.046153846,0.008368201,0.071770335,0.312217195,0,0,0,0.316582915,0,0.060606061,0.126760563,0,0.019011407,0.045226131,0.015384615,0,0.043902439,0,0.139896373,0.207373272,0.744,0.04109589,0,0.008498584,0.016042781,0.113924051,0.233160622,0,0.020979021,0.020979021,0.061728395,0.02955665,0.02739726,0.02739726,0.011627907,0.008498584,0.01754386,0.027522936,0.191489362,0.191489362,0.060606061,0.126760563,0.081967213,0.043902439,0,0.061728395,0.040540541,0.040540541,0,0.029411765,0.011627907,0,0,0.036437247,0.038135593,0.02739726,0.011299435,0,0.043902439,0.029585799,0,0,0,0.015706806,0,0.024875622,0.035502959,0.038135593,0,0,0,0,0.02970297,0.010989011,0.014925373,0,0,0.052419355,1,0,0.031914894,0,0.126760563,0.234042553,0,0,0.011627907,0,0.01754386,0.01754386,0.020979021,0.075376884,0,0.016574586,0,0.045226131,0.016042781,0,0.316582915,0.043902439,0,0.135678392,0.016042781,0.041474654,0.02955665,0,0.020979021,0.077720207,0.026455026,0.139896373
18,0.304051121,0.093360272,0.421998728,0.013274336,0.421998728,0.421998728,0.047619921,0.041172339,0.271481054,0.421998728,0.304051121,0,0.304051121,0.041172339,0.271481054,0.351665478,0.304051121,0.043902439,0,0.047619921,0.421998728,0.421998728,0.271481054,0.351665478,0.304051121,0.21283189,0.319248128,0.271481054,0.421998728,0.271481054,0.304051121,0.304051121,0.24904353,0.351665478,0.475531084,0.424592019,0.24904353,0.304051121,0.271481054,0.351665478,0.054054054,0.054054054,0.057143926,0.304051121,0.351665478,1,0.041172339,0.351665478,0.304051121,0.304051121,0.351665478,0.047120419,0.018867925,0.071429946,0.304051121,0.24904353,0.304051121,0.349514563,0.24904353,0.351665478,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.304051121,0.319248128,0,0.147982063,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,0.421998728,0.549999175,0.304051121,0.271481054,0.351665478,0,0.06,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.193548387,0.319248128,0,0.421998728,1,0.24904353,0.351665478,0.304051121,0.351665478,0.351665478,0.549999175,0.304051121,0.421998728,0.034090909,0.166666667
19,0.032258637,0.087885986,0.047619921,0.053097345,0.047619921,0.047619921,0.444229946,0.078342404,0.028013277,0.047619921,0.032258637,0,0.032258637,0.078342404,0.028013277,0.03846223,0.032258637,0,0.047619921,0,0.047619921,0.047619921,0.028013277,0.03846223,0.032258637,0.03846223,0.061343273,0.028013277,0.047619921,0.028013277,0.032258637,0.032258637,0.025087767,0.03846223,0.032258637,0.028013277,0.025087767,0.032258637,0.028013277,0.03846223,0,0,0.115648379,0.032258637,0.03846223,0.047619921,0.078342404,0.03846223,0.032258637,0.032258637,0.03846223,0,0,0.14897652,0.032258637,0.025087767,0.032258637,0,0.025087767,0.03846223,0.03846223,0.061343273,0.133274986,0.115648379,0.032258637,0.028013277,0.032258637,0.061343273,0,0,0,0,0.093408273,0.093408273,0.028013277,0.023062118,0.028013277,0.023062118,0.047619921,0.03846223,0.032258637,0.028013277,0.03846223,0,0,0.115768709,0.061343273,0.082379097,0.025087767,0.14897652,0.032258637,0.047619921,0.03846223,0.03846223,0.115768709,0.028013277,0.032258637,0,0.061343273,0,0.047619921,0.047619921,0.025087767,0.03846223,0.032258637,0.049019608,0.03846223,0.03846223,0.032258637,0.047619921,0,0
20,0.304051121,0.093360272,0.421998728,0.042056075,0.421998728,0.421998728,0.047619921,0.041172339,0.271481054,0.421998728,0.304051121,0,0.304051121,0.041172339,0.271481054,0.351665478,0.304051121,0.139896373,0.421998728,0.047619921,0,0.421998728,0.271481054,0.351665478,0.304051121,0.21283189,0.319248128,0.271481054,0.421998728,0.271481054,0.304051121,0.304051121,0.24904353,0.351665478,0.304051121,0.271481054,0.24904353,0.304051121,0.271481054,0.351665478,0.142857143,0.142857143,0.057143926,0.304051121,0.833333028,0.421998728,0.041172339,0.351665478,0.304051121,0.304051121,0.351665478,0.150837989,0.06122449,0.071429946,0.304051121,0.24904353,0.304051121,0.139175258,0.24904353,0.351665478,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.304051121,0.319248128,0,0.142180095,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,1,0.351665478,0.304051121,0.271481054,0.351665478,0,0.159574468,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.172413793,0.319248128,0,0.421998728,0.421998728,0.24904353,0.351665478,0.304051121,0.351665478,0.351665478,0.351665478,0.304051121,0.421998728,0.073170732,1
21,0.304051121,0.093360272,0.421998728,0.021008403,0.659999252,0.421998728,0.047619921,0.041172339,0.271481054,0.421998728,0.720502458,0.097560976,0.304051121,0.041172339,0.271481054,0.351665478,0.304051121,0.207373272,0.421998728,0.047619921,0.421998728,0,0.271481054,0.351665478,0.304051121,0.21283189,0.319248128,0.686440678,0.421998728,0.271481054,0.304051121,0.304051121,0.297520661,0.351665478,0.304051121,0.271481054,0.24904353,0.304051121,0.271481054,0.351665478,0.205128205,0.205128205,0.097560976,0.304051121,0.351665478,0.421998728,0.041172339,0.351665478,0.475531084,0.475531084,0.351665478,0.073891626,0.029239766,0.071429946,0.304051121,0.24904353,0.304051121,0.068807339,0.24904353,0.351665478,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.304051121,0.319248128,0.071428571,0.229787234,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,0.421998728,0.351665478,0.304051121,0.271481054,0.351665478,0,0.254716981,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.090909091,0.319248128,0,0.421998728,0.421998728,0.24904353,0.351665478,0.304051121,0.351665478,0.351665478,0.351665478,0.304051121,0.421998728,0.042553191,0.1875
